numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240701000000;101610;80;1;30;1.000000;287.050000;285.750000;92;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;100750;mq;mq;600;mq;mq;mq;mq;289.450000;mq;mq;1.500000;1.500000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240701000000;101580;90;1;0;0.000000;286.750000;285.450000;92;21180;0;mq;mq;100;8;250;mq;mq;mq;101020;mq;mq;690;mq;mq;mq;mq;290.550000;mq;mq;0.800000;4.700000;-10;1;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;240;8;mq;1140;mq;mq;mq;mq;mq;mq;
07020;20240701000000;101790;90;3;340;5.400000;288.650000;285.950000;84;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101680;mq;mq;520;mq;mq;mq;mq;mq;mq;mq;7.400000;7.400000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240701000000;101770;70;1;250;3.300000;284.950000;283.550000;91;40390;0;mq;mq;mq;0;mq;mq;mq;mq;100960;mq;mq;500;mq;mq;mq;mq;289.950000;mq;mq;4.000000;4.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20240701000000;101660;90;0;280;2.100000;287.350000;286.350000;94;19880;0;mq;mq;90;7;250;mq;mq;mq;99800;mq;mq;550;mq;mq;mq;mq;290.250000;mq;mq;4.300000;6.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;7;mq;270;7;mq;570;mq;mq;mq;mq;mq;mq;
07072;20240701000000;101520;90;1;320;1.900000;289.750000;288.950000;95;13300;0;mq;mq;100;7;1250;mq;mq;mq;100400;mq;mq;810;mq;mq;mq;mq;289.650000;mq;mq;3.800000;5.500000;-10;2;mq;mq;mq;3.200000;3.400000;3.400000;3.400000;3.800000;mq;mq;mq;mq;6;mq;1050;7;mq;1410;8;mq;1740;mq;9;mq;
07110;20240701000000;102080;120;1;320;3.000000;286.550000;282.550000;77;59010;0;mq;mq;100;8;800;mq;mq;mq;100900;mq;mq;610;mq;mq;mq;mq;279.650000;mq;mq;5.000000;6.800000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;8;mq;750;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20240701000000;101990;110;1;290;4.000000;287.750000;282.950000;73;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101290;mq;mq;580;mq;mq;mq;mq;mq;mq;mq;7.100000;8.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240701000000;101890;110;1;330;2.300000;286.450000;283.950000;85;28780;0;mq;mq;mq;0;mq;mq;mq;mq;101440;mq;mq;560;mq;mq;mq;mq;285.050000;mq;mq;3.300000;4.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.200000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20240701000000;101730;100;1;320;2.700000;289.350000;285.750000;79;20000;0;mq;mq;100;1;450;mq;mq;mq;100020;mq;mq;530;mq;mq;mq;mq;292.150000;mq;mq;4.900000;5.400000;-10;0;0.000000;mq;mq;0.000000;-0.100000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;510;8;mq;1740;mq;mq;mq;mq;mq;mq;
07149;20240701000000;101600;90;1;310;4.700000;291.650000;287.150000;75;48230;0;mq;mq;100;5;800;mq;mq;mq;100540;mq;mq;680;mq;mq;mq;mq;mq;mq;mq;6.800000;7.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.400000;mq;mq;mq;mq;2;mq;840;4;mq;1050;5;mq;1230;mq;9;mq;
07168;20240701000000;101560;30;1;150;3.300000;290.550000;286.450000;77;20000;0;mq;mq;100;8;1750;mq;mq;mq;100170;mq;mq;810;mq;mq;mq;mq;289.650000;mq;mq;5.700000;5.700000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.800000;mq;mq;mq;mq;5;mq;1740;8;mq;2520;mq;mq;mq;mq;mq;mq;
07181;20240701000000;101600;10;0;210;5.400000;288.050000;285.350000;84;60000;0;mq;mq;100;1;1250;mq;mq;mq;97510;mq;mq;890;mq;mq;mq;mq;287.850000;mq;mq;7.200000;7.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;2.800000;10.400000;mq;mq;mq;mq;1;mq;1440;6;mq;2100;8;mq;4320;mq;mq;mq;
