numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240901000000;101570;-180;8;70;5.600000;292.350000;290.150000;87;16240;0;mq;mq;mq;mq;mq;mq;mq;mq;100730;mq;mq;-570;mq;mq;mq;mq;291.250000;mq;mq;8.100000;8.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;5.000000;5.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240901000000;101690;-140;6;30;2.800000;292.650000;289.350000;81;17450;0;mq;mq;100;8;2250;mq;mq;mq;101140;mq;mq;-510;mq;mq;mq;mq;292.250000;mq;mq;4.300000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;2460;8;mq;3840;mq;mq;mq;mq;mq;mq;
07020;20240901000000;101520;-150;8;80;6.800000;291.250000;290.650000;96;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101410;mq;mq;-600;mq;mq;mq;mq;mq;mq;mq;9.600000;9.600000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240901000000;101530;-140;7;10;2.500000;292.050000;291.350000;96;4470;10;mq;mq;90;7;800;mq;mq;mq;100740;mq;mq;-550;mq;mq;mq;mq;292.050000;mq;mq;3.800000;3.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;990;7;mq;1170;mq;mq;mq;mq;mq;mq;
07037;20240901000000;101540;-140;8;20;4.500000;291.850000;291.550000;98;4290;10;mq;mq;100;8;1750;mq;mq;mq;99710;mq;mq;-470;mq;mq;mq;mq;290.750000;mq;mq;6.000000;6.900000;-10;mq;0.000000;mq;mq;0.000000;0.400000;0.800000;1.600000;1.600000;mq;mq;mq;mq;1;mq;1920;7;mq;3600;8;mq;4380;mq;8;mq;
07072;20240901000000;101510;0;0;300;1.100000;293.850000;292.550000;92;17410;0;mq;mq;mq;0;mq;mq;mq;mq;100410;mq;mq;-360;mq;mq;mq;mq;293.150000;mq;mq;2.000000;2.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20240901000000;101420;-130;8;40;2.900000;289.550000;289.050000;97;5310;0;mq;mq;100;8;3360;mq;mq;mq;100260;mq;mq;-610;mq;mq;mq;mq;289.750000;mq;mq;4.500000;5.200000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;6.300000;mq;mq;mq;mq;1;mq;3360;8;mq;5340;mq;9;mq;mq;mq;mq;
07117;20240901000000;101420;-140;8;40;2.500000;291.050000;290.850000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100740;mq;mq;-590;mq;mq;mq;mq;mq;mq;mq;3.400000;3.500000;-10;mq;mq;mq;mq;1.600000;1.800000;1.800000;1.800000;1.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240901000000;101320;-150;8;40;2.400000;293.750000;290.950000;84;29530;0;mq;mq;100;8;5340;mq;mq;mq;100890;mq;mq;-630;mq;mq;mq;mq;291.350000;mq;mq;4.000000;5.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.400000;mq;mq;mq;mq;8;mq;5340;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20240901000000;101390;-170;8;30;2.600000;291.450000;290.650000;95;8170;0;mq;mq;mq;0;mq;mq;mq;mq;99700;mq;mq;-550;mq;mq;mq;mq;291.750000;mq;mq;3.800000;5.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;1.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20240901000000;101440;-130;8;360;0.700000;291.950000;290.050000;89;10680;0;mq;mq;mq;1;3720;mq;mq;mq;100390;mq;mq;-500;mq;mq;mq;mq;mq;mq;mq;1.300000;3.800000;-10;1;0.000000;mq;mq;0.000000;0.200000;4.100000;4.100000;4.100000;mq;mq;mq;mq;1;mq;3720;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20240901000000;101450;-100;8;290;0.500000;292.450000;290.950000;91;7790;0;mq;mq;mq;0;mq;mq;mq;mq;100070;mq;mq;-360;mq;mq;mq;mq;292.450000;mq;mq;0.900000;2.200000;-10;0;mq;mq;mq;0.000000;0.000000;0.600000;0.600000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20240901000000;101530;-90;8;0;0.000000;295.750000;291.050000;75;17520;0;mq;mq;mq;4;4500;mq;mq;mq;97560;mq;mq;-240;mq;mq;mq;mq;290.050000;mq;mq;1.100000;3.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;4;mq;4500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
