numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240801000000;101180;-10;5;50;1.200000;295.750000;293.850000;89;13650;0;mq;mq;mq;mq;mq;mq;mq;mq;100350;mq;mq;-300;mq;mq;mq;mq;294.750000;mq;mq;2.000000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;2.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240801000000;101220;10;0;40;3.200000;294.550000;293.150000;92;5480;61;mq;mq;100;1;1250;mq;mq;mq;100680;mq;mq;-310;mq;mq;mq;mq;294.850000;mq;mq;4.700000;4.700000;-10;2;0.000000;mq;mq;2.000000;3.400000;3.400000;3.400000;6.000000;mq;mq;mq;mq;1;mq;1320;3;mq;1800;5;mq;2160;mq;9;mq;
07020;20240801000000;101250;0;0;90;4.100000;291.150000;290.350000;95;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101140;mq;mq;-160;mq;mq;mq;mq;mq;mq;mq;5.100000;5.700000;-10;mq;mq;mq;mq;0.200000;0.200000;0.200000;0.200000;0.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240801000000;101200;-40;5;310;2.000000;292.350000;291.150000;93;8060;0;mq;mq;mq;0;mq;mq;mq;mq;100420;mq;mq;-220;mq;mq;mq;mq;295.450000;mq;mq;2.800000;4.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20240801000000;101160;-80;8;340;1.300000;293.450000;292.150000;92;31030;0;mq;mq;100;8;4920;mq;mq;mq;99350;mq;mq;-260;mq;mq;mq;mq;293.550000;mq;mq;2.100000;3.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;1;mq;4920;8;mq;6240;mq;mq;mq;mq;mq;mq;
07072;20240801000000;101180;-60;6;240;1.400000;295.550000;294.350000;93;19820;0;mq;mq;100;8;3660;mq;mq;mq;100090;mq;mq;-210;mq;mq;mq;mq;295.350000;mq;mq;2.000000;3.000000;-10;0;mq;mq;mq;0.000000;0.800000;1.000000;1.000000;1.000000;mq;mq;mq;mq;1;mq;3660;7;mq;4320;8;mq;4980;mq;mq;mq;
07110;20240801000000;101440;10;0;300;0.700000;289.450000;289.150000;98;90;45;mq;mq;101;9;30;mq;mq;mq;100280;mq;mq;-20;mq;mq;mq;mq;289.950000;mq;mq;1.200000;2.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07117;20240801000000;101350;-10;0;230;3.500000;290.550000;290.350000;99;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100670;mq;mq;-100;mq;mq;mq;mq;mq;mq;mq;4.900000;4.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240801000000;101230;-60;8;290;1.100000;293.550000;291.850000;90;5900;0;mq;mq;mq;0;mq;mq;mq;mq;100800;mq;mq;-50;mq;mq;mq;mq;288.750000;mq;mq;1.400000;2.700000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20240801000000;101220;-50;5;20;2.000000;292.050000;290.850000;93;2750;10;mq;mq;mq;0;mq;mq;mq;mq;99530;mq;mq;-110;mq;mq;mq;mq;294.850000;mq;mq;3.300000;3.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;3.300000;3.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20240801000000;101170;-20;5;270;0.500000;297.250000;293.150000;78;30650;0;mq;mq;90;7;5220;mq;mq;mq;100140;mq;mq;-270;mq;mq;mq;mq;mq;mq;mq;0.700000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;5.400000;mq;mq;mq;mq;7;mq;5220;mq;mq;mq;mq;mq;mq;mq;mq;mq;
