numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240401000000;99300;40;3;240;2.000000;281.050000;279.650000;91;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;98440;mq;mq;-360;mq;mq;mq;mq;279.150000;mq;mq;5.100000;6.800000;-10;mq;0.000000;mq;mq;0.000000;1.600000;1.600000;7.700000;7.700000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240401000000;99280;-50;5;160;3.600000;282.050000;280.950000;93;38110;0;mq;mq;100;7;450;mq;mq;mq;98720;mq;mq;-510;mq;mq;mq;mq;279.350000;mq;mq;5.600000;6.000000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.200000;1.800000;1.800000;mq;mq;mq;mq;6;mq;540;7;mq;690;7;mq;6540;mq;mq;mq;
07020;20240401000000;99170;30;3;180;2.500000;280.850000;279.350000;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;99060;mq;mq;-170;mq;mq;mq;mq;mq;mq;mq;3.000000;4.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;6.000000;6.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240401000000;99320;60;2;140;2.400000;277.350000;276.450000;94;39370;0;mq;mq;mq;0;mq;mq;mq;mq;98510;mq;mq;-140;mq;mq;mq;mq;281.750000;mq;mq;3.300000;4.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;2.200000;2.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20240401000000;99380;60;1;160;2.100000;279.150000;278.450000;95;49080;0;mq;mq;90;7;5700;mq;mq;mq;97500;mq;mq;-190;mq;mq;mq;mq;281.550000;mq;mq;3.100000;5.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;-0.100000;1.200000;1.200000;mq;mq;mq;mq;2;mq;5700;7;mq;7080;mq;mq;mq;mq;mq;mq;
07072;20240401000000;99400;-60;6;40;1.200000;282.450000;280.250000;86;20000;0;mq;mq;100;8;2250;mq;mq;mq;98270;mq;mq;-290;mq;mq;mq;mq;281.650000;mq;mq;2.900000;6.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;3.000000;mq;mq;mq;mq;2;mq;2040;8;mq;5040;mq;mq;mq;mq;mq;mq;
07110;20240401000000;99090;-20;5;160;3.100000;279.250000;278.350000;94;38150;0;mq;mq;mq;1;7500;mq;mq;mq;97920;mq;mq;80;mq;mq;mq;mq;275.250000;mq;mq;4.200000;4.200000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;6.300000;mq;mq;mq;mq;1;mq;7500;mq;8;mq;mq;mq;mq;mq;mq;mq;
07117;20240401000000;99120;-20;5;160;3.900000;280.450000;278.050000;85;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;98430;mq;mq;0;mq;mq;mq;mq;mq;mq;mq;6.000000;7.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;4.400000;12.800000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240401000000;99310;-30;6;160;1.700000;279.050000;278.050000;93;34900;0;mq;mq;mq;0;mq;mq;mq;mq;98860;mq;mq;50;mq;mq;mq;mq;276.750000;mq;mq;3.400000;3.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.600000;2.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20240401000000;99460;40;3;220;1.900000;277.650000;276.650000;93;19160;0;mq;mq;mq;1;7560;mq;mq;mq;97710;mq;mq;-10;mq;mq;mq;mq;282.150000;mq;mq;2.600000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;2.600000;2.800000;mq;mq;mq;mq;1;mq;7560;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07149;20240401000000;99450;30;3;0;0.000000;281.650000;279.950000;89;25000;2;2;2;90;0;5500;30;20;12;98380;mq;mq;-110;mq;mq;mq;mq;mq;mq;mq;0.500000;2.900000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;4.300000;4.300000;mq;mq;mq;mq;7;0;5500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20240401000000;99440;-60;5;170;1.700000;282.350000;281.150000;92;20000;61;mq;mq;100;8;1750;mq;mq;mq;98040;mq;mq;-200;mq;mq;mq;mq;282.750000;mq;mq;2.300000;4.300000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;-0.100000;0.200000;2.600000;mq;mq;mq;mq;8;mq;1620;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20240401000000;99530;-180;7;140;4.300000;280.950000;280.150000;95;19880;61;mq;mq;100;8;1750;mq;mq;mq;95420;mq;mq;-430;mq;mq;mq;mq;278.750000;mq;mq;6.600000;6.600000;-10;mq;mq;mq;mq;0.400000;0.800000;0.800000;6.100000;6.300000;mq;mq;mq;mq;5;mq;1860;8;mq;2220;mq;8;mq;mq;mq;mq;
07190;20240401000000;99580;-210;6;50;1.600000;282.750000;281.850000;94;30820;61;mq;mq;100;8;2250;mq;mq;mq;97790;mq;mq;-600;mq;mq;mq;mq;282.950000;mq;mq;2.400000;6.100000;-10;2;0.000000;mq;mq;0.200000;0.600000;2.000000;2.000000;3.000000;mq;mq;mq;mq;6;mq;2340;8;mq;2700;mq;8;mq;mq;mq;mq;
07207;20240401000000;99240;-10;6;230;9.500000;284.250000;280.950000;80;15000;1;0;mq;25;2;2500;30;21;10;98730;mq;mq;240;mq;mq;mq;mq;mq;mq;mq;13.000000;13.100000;-10;0;mq;mq;mq;0.000000;0.200000;0.200000;0.200000;2.200000;mq;mq;mq;mq;2;4;2500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20240401000000;99440;20;3;160;2.900000;279.950000;279.050000;94;48310;0;mq;mq;100;5;1250;mq;mq;mq;99130;mq;mq;230;mq;mq;mq;mq;281.750000;mq;mq;4.400000;4.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.400000;2.200000;mq;mq;mq;mq;5;mq;1440;6;mq;1740;7;mq;2220;mq;mq;mq;
07240;20240401000000;99570;120;3;220;3.100000;281.550000;279.150000;85;60000;0;mq;mq;100;8;6480;mq;mq;mq;98230;mq;mq;210;mq;mq;mq;mq;282.550000;mq;mq;4.800000;5.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;2.200000;mq;mq;mq;mq;8;mq;6480;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20240401000000;99550;110;3;240;2.800000;282.050000;281.150000;94;8920;65;mq;mq;mq;mq;mq;mq;mq;mq;97580;mq;mq;60;mq;mq;mq;mq;283.150000;mq;mq;4.200000;5.900000;-10;mq;0.000000;mq;mq;2.800000;4.400000;4.800000;4.800000;5.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20240401000000;99420;-210;6;100;3.100000;281.950000;281.450000;97;13100;63;mq;mq;100;1;1250;mq;mq;mq;96820;mq;mq;-540;mq;mq;mq;mq;282.550000;mq;mq;4.700000;5.800000;-10;2;0.000000;mq;mq;3.600000;11.700000;14.100000;16.700000;22.900000;mq;mq;mq;mq;1;mq;1230;8;mq;1620;mq;9;mq;mq;mq;mq;
07299;20240401000000;99390;-270;8;340;6.100000;283.350000;282.150000;92;19680;61;mq;mq;100;5;250;mq;mq;mq;96200;mq;mq;-660;mq;mq;mq;mq;283.750000;mq;mq;9.100000;9.400000;-10;2;0.000000;mq;mq;-0.100000;0.800000;0.800000;0.800000;0.800000;mq;mq;mq;mq;5;mq;270;5;mq;1110;6;mq;1860;mq;8;mq;
07314;20240401000000;99630;120;3;220;11.900000;284.150000;280.850000;80;12000;2;2;mq;90;3;800;32;24;mq;99360;mq;mq;530;mq;mq;mq;mq;mq;mq;mq;15.800000;18.200000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;8.700000;mq;mq;mq;mq;3;8;800;2;3;2500;mq;mq;mq;mq;mq;mq;
