numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240501000000;100990;-80;7;100;2.400000;286.250000;285.350000;94;14200;0;mq;mq;mq;mq;mq;mq;mq;mq;100130;mq;mq;-680;mq;mq;mq;mq;285.550000;mq;mq;3.700000;4.300000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.200000;0.400000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240501000000;101120;-70;6;130;2.800000;287.650000;285.150000;85;16030;60;mq;mq;100;8;1750;mq;mq;mq;100560;mq;mq;-610;mq;mq;mq;mq;286.450000;mq;mq;4.500000;7.100000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;0.400000;0.600000;0.600000;mq;mq;mq;mq;2;mq;1920;8;mq;2580;mq;8;mq;mq;mq;mq;
07020;20240501000000;100850;-90;5;140;2.000000;281.950000;280.050000;88;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100740;mq;mq;-530;mq;mq;mq;mq;mq;mq;mq;3.200000;4.000000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240501000000;100950;30;0;310;2.300000;282.350000;280.950000;91;11050;0;mq;mq;mq;3;2250;mq;mq;mq;100140;mq;mq;-660;mq;mq;mq;mq;284.850000;mq;mq;3.300000;5.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;2340;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20240501000000;100940;-90;8;130;3.200000;285.750000;285.250000;97;14330;0;mq;mq;100;1;250;mq;mq;mq;99080;mq;mq;-710;mq;mq;mq;mq;284.750000;mq;mq;4.900000;5.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;0.200000;mq;mq;mq;mq;1;mq;210;5;mq;2460;8;mq;3240;mq;mq;mq;
07072;20240501000000;101140;-60;8;320;1.300000;285.950000;284.850000;93;18390;0;mq;mq;100;8;2250;mq;mq;mq;100010;mq;mq;-700;mq;mq;mq;mq;285.950000;mq;mq;2.100000;8.400000;-10;2;mq;mq;mq;0.600000;1.200000;2.200000;2.200000;3.800000;mq;mq;mq;mq;2;mq;2220;8;mq;3480;mq;8;mq;mq;mq;mq;
07110;20240501000000;100810;-20;7;140;2.800000;280.950000;280.050000;94;33680;0;mq;mq;100;1;1250;mq;mq;mq;99620;mq;mq;-390;mq;mq;mq;mq;277.150000;mq;mq;3.800000;4.700000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;0.200000;4.600000;13.100000;mq;mq;mq;mq;1;mq;1260;6;mq;1680;8;mq;5580;mq;8;mq;
07117;20240501000000;100810;-30;6;180;3.300000;281.650000;280.450000;92;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;100110;mq;mq;-430;mq;mq;mq;mq;mq;mq;mq;5.300000;5.300000;-10;mq;mq;mq;mq;-0.100000;-0.100000;0.400000;7.300000;7.300000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240501000000;100950;-10;5;190;1.400000;283.350000;281.750000;90;19730;61;mq;mq;100;2;800;mq;mq;mq;100500;mq;mq;-640;mq;mq;mq;mq;284.350000;mq;mq;2.000000;2.900000;-10;2;0.000000;mq;mq;0.200000;0.200000;0.200000;0.200000;0.200000;mq;mq;mq;mq;1;mq;720;6;mq;1980;8;mq;2640;mq;8;mq;
07139;20240501000000;100920;-20;7;330;0.900000;283.250000;282.450000;95;20000;0;mq;mq;90;7;450;mq;mq;mq;99180;mq;mq;-730;mq;mq;mq;mq;285.950000;mq;mq;1.600000;3.900000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;6;mq;390;7;mq;1500;mq;mq;mq;mq;mq;mq;
