numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20230501000000;101820;-100;6;180;1.300000;282.850000;280.750000;87;12720;0;mq;mq;mq;mq;mq;mq;mq;mq;100940;mq;mq;-430;mq;mq;mq;mq;281.950000;mq;mq;2.000000;2.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20230501000000;101760;-100;8;290;2.300000;285.550000;283.250000;86;5910;0;mq;mq;100;8;1750;mq;mq;mq;101190;mq;mq;-530;mq;mq;mq;mq;285.550000;mq;mq;2.900000;4.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;1800;8;mq;2580;mq;mq;mq;mq;mq;mq;
07020;20230501000000;101970;-60;6;280;4.400000;284.650000;284.050000;96;4000;40;2;2;100;8;800;38;mq;mq;101860;mq;mq;-150;mq;mq;mq;mq;mq;mq;mq;7.900000;7.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;1.200000;mq;mq;mq;mq;8;6;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20230501000000;101990;-40;8;290;1.900000;284.150000;282.750000;91;7690;0;mq;mq;100;8;250;mq;mq;mq;101180;mq;mq;-150;mq;mq;mq;mq;286.650000;mq;mq;2.500000;3.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;240;8;mq;360;mq;mq;mq;mq;mq;mq;
07037;20230501000000;101880;-50;6;280;4.100000;284.550000;282.650000;88;5730;0;mq;mq;100;8;2250;mq;mq;mq;99990;mq;mq;-310;mq;mq;mq;mq;284.950000;mq;mq;6.000000;6.000000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;2160;8;mq;2520;mq;mq;mq;mq;mq;mq;
07072;20230501000000;101760;-80;7;290;1.300000;282.550000;281.750000;95;19830;0;mq;mq;100;8;1750;mq;mq;mq;100600;mq;mq;-400;mq;mq;mq;mq;282.750000;mq;mq;1.800000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;1680;8;mq;1980;mq;mq;mq;mq;mq;mq;
07110;20230501000000;102190;-30;8;280;2.400000;284.250000;283.150000;93;10700;0;mq;mq;100;8;250;mq;mq;mq;101000;mq;mq;40;mq;mq;mq;mq;283.050000;mq;mq;3.900000;4.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;210;8;mq;1020;mq;mq;mq;mq;mq;mq;
07117;20230501000000;102120;-30;6;280;4.300000;284.750000;283.850000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101420;mq;mq;30;mq;mq;mq;mq;mq;mq;mq;8.200000;8.200000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20230501000000;102100;-30;7;310;2.700000;285.050000;283.250000;89;25040;0;mq;mq;100;8;450;mq;mq;mq;101650;mq;mq;30;mq;mq;mq;mq;286.750000;mq;mq;5.400000;5.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;8;mq;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20230501000000;101960;-30;6;270;1.900000;284.450000;283.550000;94;5920;0;mq;mq;90;7;450;mq;mq;mq;100210;mq;mq;-180;mq;mq;mq;mq;287.250000;mq;mq;3.400000;3.400000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.200000;0.200000;0.200000;mq;mq;mq;mq;7;mq;360;mq;mq;mq;mq;mq;mq;mq;mq;mq;
