numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240601000000;102010;80;1;340;4.600000;285.150000;284.050000;93;18870;0;mq;mq;mq;mq;mq;mq;mq;mq;101140;mq;mq;600;mq;mq;mq;mq;286.150000;mq;mq;8.000000;10.600000;-10;1;0.000000;mq;mq;0.000000;0.000000;-0.100000;3.300000;5.900000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240601000000;101870;90;1;340;4.600000;286.350000;285.250000;93;8990;0;mq;mq;100;8;250;mq;mq;mq;101300;mq;mq;640;mq;mq;mq;mq;287.650000;mq;mq;8.400000;9.100000;-10;1;0.000000;mq;mq;-0.100000;-0.100000;0.200000;7.600000;9.400000;mq;mq;mq;mq;8;mq;240;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20240601000000;102330;50;2;40;2.900000;286.650000;284.650000;88;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;102220;mq;mq;570;mq;mq;mq;mq;mq;mq;mq;4.500000;4.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20240601000000;102210;60;1;10;5.500000;285.750000;283.650000;87;27400;0;mq;mq;100;8;450;mq;mq;mq;101400;mq;mq;530;mq;mq;mq;mq;287.750000;mq;mq;9.300000;10.500000;-10;0;0.000000;mq;mq;-0.100000;-0.100000;0.600000;1.400000;1.600000;mq;mq;mq;mq;2;mq;450;8;mq;690;mq;mq;mq;mq;mq;mq;
07037;20240601000000;102000;100;1;360;6.400000;285.250000;284.150000;93;25670;0;mq;mq;100;8;450;mq;mq;mq;100110;mq;mq;500;mq;mq;mq;mq;286.350000;mq;mq;10.200000;10.400000;-10;mq;0.000000;mq;mq;0.000000;-0.100000;-0.100000;2.600000;4.400000;mq;mq;mq;mq;3;mq;330;5;mq;510;8;mq;720;mq;mq;mq;
07072;20240601000000;101640;60;1;300;2.000000;285.750000;285.250000;97;19620;58;mq;mq;100;1;450;mq;mq;mq;100500;mq;mq;420;mq;mq;mq;mq;283.150000;mq;mq;3.200000;3.200000;-10;mq;0.000000;mq;mq;0.200000;0.400000;0.400000;0.400000;1.000000;mq;mq;mq;mq;1;mq;450;4;mq;2280;8;mq;2760;mq;mq;mq;
07110;20240601000000;102430;20;3;320;2.100000;284.950000;284.350000;96;1440;10;mq;mq;100;6;1250;mq;mq;mq;101240;mq;mq;330;mq;mq;mq;mq;282.550000;mq;mq;2.600000;2.900000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;1320;8;mq;1680;mq;mq;mq;mq;mq;mq;
07117;20240601000000;102400;70;3;20;4.300000;286.750000;284.750000;88;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101700;mq;mq;430;mq;mq;mq;mq;mq;mq;mq;6.000000;6.100000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240601000000;102210;40;1;350;3.900000;287.350000;283.550000;78;42880;0;mq;mq;90;6;800;mq;mq;mq;101760;mq;mq;370;mq;mq;mq;mq;287.650000;mq;mq;6.100000;7.100000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;mq;660;6;mq;1080;7;mq;2640;mq;mq;mq;
07139;20240601000000;102020;40;3;360;5.900000;285.650000;284.350000;92;12870;0;mq;mq;100;8;450;mq;mq;mq;100280;mq;mq;370;mq;mq;mq;mq;289.150000;mq;mq;9.900000;10.000000;-10;2;0.000000;mq;mq;0.200000;0.800000;1.000000;1.400000;1.400000;mq;mq;mq;mq;7;mq;420;8;mq;600;mq;mq;mq;mq;mq;mq;
07149;20240601000000;101770;110;1;10;5.700000;286.650000;285.750000;94;4160;65;mq;mq;100;8;450;mq;mq;mq;100690;mq;mq;370;mq;mq;mq;mq;mq;mq;mq;9.200000;9.300000;-10;2;0.000000;mq;mq;4.200000;4.200000;4.800000;5.800000;6.000000;mq;mq;mq;mq;7;mq;300;8;mq;480;mq;9;mq;mq;mq;mq;
07168;20240601000000;101670;50;0;290;2.700000;284.450000;283.850000;96;6840;0;mq;mq;mq;3;250;mq;mq;mq;100250;mq;mq;360;mq;mq;mq;mq;285.450000;mq;mq;3.500000;3.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;4.100000;5.900000;mq;mq;mq;mq;1;mq;210;3;mq;2040;mq;mq;mq;mq;mq;mq;
07181;20240601000000;101560;30;0;270;2.100000;283.750000;282.650000;93;29450;0;mq;mq;100;8;2250;mq;mq;mq;97410;mq;mq;410;mq;mq;mq;mq;283.850000;mq;mq;2.800000;2.900000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;1.400000;9.000000;mq;mq;mq;mq;5;mq;2220;8;mq;2760;mq;mq;mq;mq;mq;mq;
07190;20240601000000;101440;40;3;220;1.700000;285.850000;285.350000;97;12570;61;mq;mq;100;7;1250;mq;mq;mq;99640;mq;mq;460;mq;mq;mq;mq;286.350000;mq;mq;2.700000;3.700000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;1.200000;8.800000;15.600000;mq;mq;mq;mq;6;mq;1050;7;mq;1410;7;mq;2280;mq;8;mq;
07222;20240601000000;102110;40;2;360;2.600000;286.350000;283.550000;83;20180;0;mq;mq;mq;1;800;mq;mq;mq;101800;mq;mq;270;mq;mq;mq;mq;288.150000;mq;mq;6.100000;8.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;780;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07240;20240601000000;101820;-40;8;320;4.700000;286.050000;285.450000;96;3670;61;mq;mq;100;8;250;mq;mq;mq;100480;mq;mq;190;mq;mq;mq;mq;288.650000;mq;mq;8.500000;8.500000;-10;2;0.000000;mq;mq;0.800000;1.000000;1.000000;1.000000;1.000000;mq;mq;mq;mq;7;mq;270;8;mq;420;mq;8;mq;mq;mq;mq;
