numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20241201000000;102380;-180;8;130;3.100000;279.150000;277.450000;89;16430;0;mq;mq;mq;mq;mq;mq;mq;mq;101490;mq;mq;-300;mq;mq;mq;mq;278.150000;mq;mq;5.700000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20241201000000;102510;-140;8;140;3.900000;278.750000;276.550000;86;12910;0;mq;mq;100;8;800;mq;mq;mq;101920;mq;mq;-290;mq;mq;mq;mq;278.550000;mq;mq;5.800000;5.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;630;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20241201000000;101880;-210;8;170;9.400000;284.150000;283.250000;94;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101770;mq;mq;-490;mq;mq;mq;mq;mq;mq;mq;13.200000;14.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07027;20241201000000;102160;-170;8;140;4.700000;281.750000;281.650000;99;3180;10;mq;mq;mq;5;1750;mq;mq;mq;101340;mq;mq;-420;mq;mq;mq;mq;281.650000;mq;mq;6.000000;6.300000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;3;mq;1800;5;mq;2220;mq;mq;mq;mq;mq;mq;
07037;20241201000000;102410;-150;8;140;2.800000;278.350000;278.350000;100;260;45;mq;mq;101;9;30;mq;mq;mq;100470;mq;mq;-320;mq;mq;mq;mq;279.950000;mq;mq;4.400000;4.700000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20241201000000;102730;-70;8;120;4.000000;272.250000;271.850000;97;3670;10;mq;mq;75;6;150;mq;mq;mq;101520;mq;mq;-200;mq;mq;mq;mq;273.450000;mq;mq;5.500000;5.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;120;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20241201000000;101740;-160;6;170;7.000000;286.550000;286.250000;98;11550;0;mq;mq;100;8;80;mq;mq;mq;100570;mq;mq;-620;mq;mq;mq;mq;284.950000;mq;mq;11.600000;11.600000;-10;2;0.000000;mq;mq;2.200000;3.600000;3.600000;3.600000;3.800000;mq;mq;mq;mq;8;mq;90;mq;8;mq;mq;mq;mq;mq;mq;mq;
07117;20241201000000;101790;-160;6;170;4.600000;286.350000;284.450000;88;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101090;mq;mq;-570;mq;mq;mq;mq;mq;mq;mq;8.400000;11.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20241201000000;102160;-200;7;120;3.000000;281.350000;281.350000;100;3870;10;mq;mq;100;8;80;mq;mq;mq;101700;mq;mq;-480;mq;mq;mq;mq;282.250000;mq;mq;5.300000;7.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20241201000000;102400;-130;7;210;1.500000;279.650000;279.350000;98;1960;10;mq;mq;100;8;80;mq;mq;mq;100610;mq;mq;-330;mq;mq;mq;mq;281.150000;mq;mq;2.400000;2.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;90;8;mq;210;mq;mq;mq;mq;mq;mq;
07149;20241201000000;102590;-170;8;160;2.700000;273.950000;273.850000;99;190;45;4;4;101;9;mq;62;61;60;101450;mq;mq;-210;mq;mq;mq;mq;mq;mq;mq;4.100000;5.100000;-10;0;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;9;59;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07168;20241201000000;102710;-80;8;170;3.500000;273.750000;273.650000;99;550;44;mq;mq;100;8;80;mq;mq;mq;101220;mq;mq;-160;mq;mq;mq;mq;274.750000;mq;mq;5.100000;5.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;60;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07181;20241201000000;102840;-100;8;130;2.900000;272.650000;272.350000;98;210;48;mq;mq;100;8;80;mq;mq;mq;98460;mq;mq;-250;mq;mq;mq;mq;274.350000;mq;mq;5.300000;5.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07190;20241201000000;102920;-80;8;210;2.300000;274.350000;273.450000;94;5640;0;mq;mq;100;8;250;mq;mq;mq;101010;mq;mq;-270;mq;mq;mq;mq;275.150000;mq;mq;3.500000;3.700000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07207;20241201000000;mq;mq;mq;150;9.200000;287.350000;286.550000;95;7000;2;2;mq;100;8;450;36;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;11.700000;12.400000;-10;1;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;7;500;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07222;20241201000000;102160;-160;6;140;4.500000;283.250000;282.750000;97;9440;0;mq;mq;100;8;1750;mq;mq;mq;101840;mq;mq;-480;mq;mq;mq;mq;284.750000;mq;mq;7.200000;8.500000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;mq;1980;8;mq;2400;mq;mq;mq;mq;mq;mq;
07240;20241201000000;102460;-150;8;120;3.900000;277.650000;277.650000;100;230;45;mq;mq;101;9;30;mq;mq;mq;101060;mq;mq;-230;mq;mq;mq;mq;280.050000;mq;mq;6.200000;6.200000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07255;20241201000000;102580;-110;8;110;3.200000;277.750000;277.750000;100;250;45;mq;mq;mq;mq;mq;mq;mq;mq;100520;mq;mq;-160;mq;mq;mq;mq;279.250000;mq;mq;4.200000;4.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07280;20241201000000;102820;-90;6;170;1.200000;275.250000;275.150000;99;2310;10;mq;mq;100;8;80;mq;mq;mq;100070;mq;mq;-230;mq;mq;mq;mq;278.050000;mq;mq;2.100000;2.800000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;90;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20241201000000;102970;-80;8;160;1.800000;270.550000;269.850000;95;6400;0;mq;mq;mq;0;mq;mq;mq;mq;99500;mq;mq;-250;mq;mq;mq;mq;277.750000;mq;mq;2.500000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07314;20241201000000;102280;-60;5;150;3.200000;283.450000;282.650000;95;12000;1;0;mq;25;2;2250;30;24;mq;102000;mq;mq;-360;mq;mq;mq;mq;mq;mq;mq;5.300000;7.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;2100;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20241201000000;102430;-120;8;130;2.200000;279.850000;279.850000;100;390;45;mq;mq;101;9;30;mq;mq;mq;100950;mq;mq;-220;mq;mq;mq;mq;282.750000;mq;mq;3.900000;4.900000;-10;2;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.200000;mq;mq;mq;mq;0;0;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20241201000000;102500;-80;8;80;1.400000;281.250000;281.150000;99;460;44;mq;mq;mq;0;mq;mq;mq;mq;97650;mq;mq;-210;mq;mq;mq;mq;280.650000;mq;mq;2.400000;3.000000;-10;1;0.000000;mq;mq;0.000000;0.200000;0.200000;0.200000;0.400000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20241201000000;102610;-120;7;180;2.200000;277.750000;277.150000;96;7170;0;mq;mq;mq;0;mq;mq;mq;mq;98550;mq;mq;-190;mq;mq;mq;mq;274.450000;mq;mq;5.700000;5.700000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20241201000000;mq;-50;8;250;1.400000;272.150000;271.050000;92;20000;0;mq;mq;mq;0;mq;mq;mq;mq;92860;92500;864;-100;mq;mq;mq;mq;274.650000;mq;mq;1.700000;2.000000;-10;5;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20241201000000;102860;-60;6;230;2.300000;275.250000;274.950000;98;250;47;4;4;101;9;mq;62;61;60;99860;mq;mq;-160;mq;mq;mq;mq;mq;mq;mq;3.700000;3.700000;-10;1;0.000000;0.000000;-60;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;9;59;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07510;20241201000000;102360;-70;7;120;2.400000;280.850000;280.850000;100;4080;10;mq;mq;mq;0;mq;mq;mq;mq;101770;mq;mq;-280;mq;mq;mq;mq;278.550000;mq;mq;3.000000;3.300000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07535;20241201000000;102520;-90;8;110;1.700000;282.050000;281.150000;94;20000;0;mq;mq;mq;0;mq;mq;mq;mq;99350;mq;mq;-190;mq;mq;mq;mq;280.650000;mq;mq;3.000000;3.000000;-10;1;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;-0.100000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07558;20241201000000;102710;-30;8;40;1.400000;278.450000;276.950000;90;17720;0;mq;mq;mq;mq;mq;mq;mq;mq;94210;mq;mq;-60;mq;mq;mq;mq;274.950000;mq;mq;2.100000;2.600000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07577;20241201000000;102870;0;0;10;1.200000;277.250000;276.650000;96;3840;10;mq;mq;mq;mq;mq;mq;mq;mq;101940;mq;mq;-50;mq;mq;mq;mq;277.950000;mq;mq;2.300000;4.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
